ID,Idade,Gênero,Departamento,Salário,Horas_Trabalhadas,Produtividade,Satisfação,Tempo_Empresa,Cursos_Realizados,Home_Office
147,26,Feminino,Marketing,2536.32,38,89.16,92.35,1,3,Sim
148,29,Masculino,TI,5882.41,32,80.1,82.59,0,8,Não
149,33,Masculino,Marketing,6152.11,36,78.06,87.91,3,6,Não
150,19,Feminino,TI,2536.32,35,76.71,100.0,0,4,Não
151,45,Feminino,TI,9605.58,37,83.49,72.15,20,12,Não
152,41,Masculino,Vendas,7869.68,38,86.33,75.78,9,16,Não
153,24,Feminino,Marketing,2536.32,34,80.36,100.0,0,4,Não
154,18,Feminino,Vendas,2536.32,30,67.33,100.0,0,3,Não
155,43,Masculino,RH,8228.97,48,102.81,84.34,5,13,Sim
156,30,Masculino,RH,7053.93,39,88.41,70.9,13,5,Sim
157,30,Feminino,TI,8023.68,41,91.22,82.41,7,2,Sim
158,34,Masculino,TI,23343.34,44,100.78,73.26,13,4,Sim
159,32,Masculino,Vendas,7421.96,38,87.46,89.51,12,3,Sim
160,44,Feminino,Vendas,8855.58,48,109.67,92.59,7,5,Sim
161,44,Masculino,TI,20412.36,46,101.69,67.1,25,10,Sim
162,40,Masculino,TI,29052.82,46,109.07,73.4,20,5,Sim
163,33,Masculino,Marketing,17170.12,48,105.49,100.0,4,6,Sim
164,37,Feminino,Vendas,2536.32,41,93.83,89.41,0,6,Sim
165,34,Masculino,TI,15822.98,36,78.19,93.8,6,6,Não
166,31,Feminino,Marketing,5288.87,31,68.78,66.6,7,7,Não
167,21,Masculino,Vendas,2536.32,32,72.18,86.83,0,0,Não
168,37,Feminino,TI,18467.77,46,106.89,85.92,8,9,Sim
169,38,Masculino,TI,3246.05,34,78.79,95.85,5,13,Não
170,32,Feminino,RH,2536.32,46,100.23,80.65,11,7,Sim
171,38,Masculino,Vendas,5634.76,46,103.12,77.66,10,4,Sim
172,33,Feminino,TI,19619.85,46,102.11,76.11,12,3,Sim
173,23,Feminino,Marketing,2536.32,31,70.52,100.0,8,1,Não
174,25,Masculino,Marketing,2536.32,31,67.81,96.16,0,0,Não
175,23,Feminino,Marketing,2536.32,34,82.32,100.0,0,0,Não
176,27,Masculino,RH,2536.32,30,70.63,100.0,1,4,Não
177,19,Masculino,Marketing,9292.72,30,76.52,82.91,13,0,Não
178,32,Masculino,Marketing,5975.06,48,108.82,76.4,7,6,Sim
179,26,Masculino,Marketing,2536.32,31,73.65,96.02,8,8,Não
180,33,Masculino,RH,6168.96,41,90.69,95.06,0,5,Sim
181,27,Masculino,Marketing,9419.59,35,76.71,79.72,5,0,Não
182,34,Feminino,Vendas,2536.32,33,75.35,85.13,12,4,Não
183,26,Masculino,TI,17282.19,40,86.63,72.79,8,6,Não
184,24,Masculino,Vendas,2820.76,46,103.95,82.38,6,5,Sim
185,29,Masculino,Vendas,2536.32,35,84.9,91.57,5,6,Não
186,34,Masculino,TI,15870.57,34,77.22,100.0,8,3,Não
187,26,Masculino,Marketing,13777.5,48,110.83,93.13,0,6,Sim
188,44,Feminino,Marketing,8386.86,31,69.93,82.08,8,13,Não
189,19,Masculino,TI,9821.27,35,79.09,100.0,1,0,Não
190,28,Masculino,Marketing,4184.92,40,87.56,85.95,1,4,Sim
191,47,Masculino,TI,22573.94,45,93.6,76.09,17,18,Sim
192,31,Masculino,TI,14719.31,45,99.89,98.73,8,2,Sim
193,28,Feminino,Vendas,2536.32,30,70.39,78.6,11,0,Não
194,31,Masculino,TI,24806.24,38,89.2,91.93,11,10,Sim
195,31,Feminino,Vendas,2536.32,35,82.39,91.25,7,9,Não
196,35,Feminino,Marketing,15553.95,45,102.43,72.69,12,4,Sim
197,21,Masculino,Vendas,2536.32,32,71.08,88.02,6,1,Não
198,24,Feminino,RH,4300.66,48,109.38,96.2,0,0,Sim
199,31,Masculino,TI,12717.39,33,80.75,92.46,4,5,Não
200,40,Feminino,RH,14123.42,48,107.14,84.86,10,12,Sim
201,31,Masculino,TI,12181.67,32,79.49,99.22,4,3,Não
202,24,Feminino,Marketing,8849.34,48,112.06,91.75,8,6,Sim
203,34,Masculino,Vendas,2536.32,48,107.19,69.02,4,8,Sim
204,35,Masculino,TI,20086.5,36,79.91,75.69,14,8,Não
205,24,Masculino,Marketing,2536.32,48,105.72,83.24,1,1,Sim
206,27,Feminino,RH,2536.32,38,81.45,87.24,6,2,Não
207,30,Feminino,Vendas,2536.32,30,68.44,88.76,6,0,Não
208,29,Feminino,RH,2536.32,37,87.62,100.0,0,2,Sim
209,27,Masculino,TI,17482.59,36,75.39,93.03,4,8,Não
210,25,Feminino,RH,2536.32,47,100.89,94.26,5,0,Sim
211,21,Masculino,TI,7175.65,37,83.62,100.0,1,0,Não
212,19,Masculino,RH,2536.32,30,67.37,100.0,0,3,Não
213,46,Masculino,Vendas,16282.05,45,88.42,62.1,22,11,Sim
214,39,Feminino,RH,11398.1,47,102.46,84.28,10,10,Sim
215,26,Masculino,Vendas,2536.32,39,87.23,100.0,0,0,Sim
216,45,Feminino,TI,25677.8,32,71.81,59.57,21,20,Não
217,34,Feminino,RH,5350.98,36,79.57,73.98,11,1,Não
218,29,Masculino,Vendas,2536.32,45,102.8,77.28,0,5,Sim
219,29,Masculino,TI,12341.16,45,103.15,89.23,0,4,Sim
220,20,Masculino,Vendas,2536.32,48,103.86,82.21,0,0,Sim
221,20,Masculino,TI,13983.42,46,93.72,100.0,2,0,Sim
222,32,Masculino,RH,2536.32,31,75.19,85.22,10,5,Não
223,31,Masculino,Vendas,2536.32,30,66.31,80.41,11,2,Não
224,23,Feminino,RH,6691.17,45,100.64,84.49,5,6,Sim
225,44,Masculino,TI,26868.83,41,87.3,68.63,19,9,Sim
226,36,Feminino,RH,3711.26,34,81.89,76.52,9,1,Não
227,21,Feminino,Marketing,2536.32,34,85.63,100.0,0,0,Não
228,43,Feminino,Vendas,5717.9,38,86.55,82.46,12,11,Não
229,48,Feminino,Marketing,15638.38,38,85.72,68.05,14,5,Não
230,54,Feminino,Marketing,9422.09,32,73.03,82.86,5,14,Não
